"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G30814",0.776011575228165,-0.506025461985617,0.605783849069991,-0.835323461928667,0.403535610836587,0.484645393266344
"AT1G78930",178.75470347433,1.68752391145482,0.0768347157264767,21.9630396950022,6.50020561376405e-107,3.38179274583406e-106
"AT1G71695",3245.09881461068,2.93271110928362,0.0871813165682749,33.6392156567961,4.48313431433206e-248,4.7242713065723e-247
"AT1G58983",0,NA,NA,NA,NA,NA
"AT1G12980",3.31056458430478,4.5893114964031,0.506275918436675,9.0648425676149,1.24784320960557e-19,2.80617738192615e-19
"AT1G45223",0,NA,NA,NA,NA,NA
"AT1G56250",23.3639095317394,1.0821399817194,0.330355191329551,3.27568632224065,0.00105405560510954,0.00155653193954544
"AT1G66852",0,NA,NA,NA,NA,NA
"AT1G69810",906.67354128382,-5.15655362228686,0.105611172085591,-48.8258346201083,0,0
"AT1G72450",1842.71694809953,2.32401883724603,0.119362109761259,19.4703230522181,1.96031361940432e-84,8.64267589201623e-84
"AT1G76280",444.598180187158,0.377530459575672,0.0480165860724818,7.86250107422846,3.76538338661093e-15,7.77540715288307e-15
"AT1G65630",0.44720815836853,2.31429556643866,1.42019163060436,1.62956569843594,0.103193318963019,0.133117458008073
"AT1G71390",2.05254501109835,1.07038363859027,0.657587272550697,1.62774384978345,0.103579211024525,0.133602800241912
"AT1G56233",0.0213139060949371,0.286448448395046,2.95661270345986,0.0968839943289972,0.922818519680651,0.956722135333307
"AT1G15210",5588.84730864714,-5.44282091288007,0.0917365989117411,-59.3309647125305,0,0
"AT1G15250",413.764115626488,0.667264982157109,0.0723025167698765,9.22879329748466,2.73697800146506e-20,6.24116655803601e-20
"AT1G79700",780.125217638984,1.8787811342534,0.208332893072981,9.01816850205816,1.91259979203501e-19,4.28890239310694e-19
"AT1G62895",0,NA,NA,NA,NA,NA
"AT1G73360",122.32910416947,1.0966166470425,0.100936988418018,10.8643685949991,1.70397786842973e-27,4.33280236352899e-27
"AT1G16360",13.3182589924255,-0.103711517428661,0.158243334917574,-0.655392642493808,0.512214987329404,0.605011199993169
"AT1G10225",0.358693307506772,0.702182945260834,0.90884847936809,0.772607273050677,0.439754838857521,0.524549000521059
"AT1G26670",2379.24178654849,-0.1417038258105,0.0669449155265856,-2.11672275177083,0.0342833847275603,0.0461608433566659
"AT1G34855",0,NA,NA,NA,NA,NA
"AT1G52200",2701.64832594613,-2.23734163138112,0.130732248883328,-17.1139229263763,1.16857231398689e-65,4.45647986886612e-65
"AT1G57800",0.148277126954358,0.430726159765411,1.7596627899035,0.244777671174733,0.806628583883656,0.898298850489536
"AT1G69460",1604.82715697459,-0.222612499453555,0.0410437780333343,-5.42378187682325,5.83510808665737e-08,1.01586879544014e-07
"AT1G04310",308.722809623508,0.538853149838069,0.0919925384554671,5.85757452599185,4.69676069536393e-09,8.4472730203846e-09
"AT1G08080",60.2671142684382,-1.47807652086915,0.512272083105046,-2.88533490232388,0.00390997480033791,0.00560392608841596
"AT1G75550",68.6524131982262,-0.144259820995939,0.0999497100550474,-1.44332405683306,0.148929206058714,0.189197705994372
"AT1G71890",7.03433648318675,2.82321743554714,0.30442451880527,9.27394891392784,1.79378868651156e-20,4.10629721398325e-20
"AT1G05430",758.430706232761,0.675535096933074,0.0289604853341664,23.326097236917,2.40996291921663e-120,1.36431499985018e-119
"AT1G80870",759.447233060721,-0.909612315170791,0.0674351509148536,-13.4886969604221,1.8229387981864e-41,5.53945277170078e-41
"AT1G75310",1525.64230471737,0.00954205954063499,0.0544630569246787,0.175202423063242,0.86092058045291,0.934145903213181
"AT1G02010",370.892654485585,0.562244544883425,0.050976351190207,11.0295172517455,2.75339019925161e-28,7.07791818050723e-28
"AT1G47900",1290.77599726608,-0.672656498818528,0.0437616562940854,-15.3709104220866,2.5653874636137e-53,8.77736017244075e-53
"AT1G14315",0.836119459967294,2.94092986733921,0.675919036938359,4.35100908040768,1.35512439504433e-05,2.17081816029235e-05
"AT1G26760",115.788492233488,-0.405317029268332,0.0840692733887513,-4.82122674468796,1.42678066230588e-06,2.37222637084766e-06
"AT1G05250",103.033658734439,-8.44959261542136,0.440609745404143,-19.1770443199596,5.75608158171427e-82,2.49289121443361e-81
"AT1G67260",2.1570001487198,3.68035499549505,0.52100711489942,7.06392463796879,1.61864553197065e-12,3.1649219000949e-12
"AT1G24575",252.225499531136,-1.3127971657607,0.115742233759603,-11.3424211985348,8.08754230429894e-30,2.12215576881429e-29
"AT1G12790",173.700655142198,0.755787052005504,0.0850909643166741,8.88210702599127,6.56056688467079e-19,1.45911603654167e-18
